im1name,im2name,cond,ori,mask,rt,acc,contrast,trialno
66_eyes.png,148_eyes.png,isod,inv,66_eyes_mask.png,0.7076220512390137,1,5.76904693567962,54
93_eyes.png,93_eyes.png,isos,inv,93_eyes_mask.png,0.5905649662017822,1,5.303233769314314,55
13_eyes.png,13_eyes.png,isos,inv,13_eyes_mask.png,1.1192600727081299,0,4.8750319984495905,56
9_eyes.png,9_eyes.png,isos,inv,9_eyes_mask.png,0.5165150165557861,1,6.275775120201354,57
87_eyes.png,87_eyes.png,isos,inv,87_eyes_mask.png,0.602545976638794,1,5.76904693567962,58
94_eyes.png,37_eyes.png,isod,inv,94_eyes_mask.png,0.4871940612792969,0,5.76904693567962,59
96_eyes.png,96_eyes.png,isos,inv,96_eyes_mask.png,0.49810099601745605,1,6.827012121491527,60
125_eyes.png,100_eyes.png,isod,inv,125_eyes_mask.png,0.6145579814910889,1,6.275775120201354,61
147_eyes.png,55_eyes.png,isod,inv,147_eyes_mask.png,0.7604148387908936,0,6.275775120201354,62
9_eyes.png,9_eyes.png,isos,inv,9_eyes_mask.png,0.8827269077301025,1,7.426667401921956,63
125-38.png,17-9.png,dd,up,125-38_mask.png,0.6738848686218262,1,4.481404746557163,64
111-216F.png,192-216F.png,ds,up,111-216F_mask.png,0.625709056854248,0,3.786932535139164,65
131-94F.png,129-94F.png,ds,up,131-94F_mask.png,0.8003311157226562,1,5.76904693567962,66
151-146.png,49-87.png,dd,up,151-146_mask.png,0.5424258708953857,1,5.303233769314314,67
41-208F.png,65-20F.png,dd,up,41-208F_mask.png,0.6994678974151611,1,4.8750319984495905,68
129-94F.png,131-94F.png,ds,up,129-94F_mask.png,0.5066080093383789,1,4.481404746557163,69
96-225F.png,13-128F.png,dd,up,96-225F_mask.png,0.6532430648803711,1,4.1195603452145715,70
128-30F.png,225-30F.png,ds,up,128-30F_mask.png,0.8299920558929443,1,3.481162265860333,71
160-76.png,24-2.png,dd,up,160-76_mask.png,0.6129779815673828,1,3.2000809649503075,72
160-76.png,24-76.png,ds,up,160-76_mask.png,0.5128920078277588,1,2.941695158156166,73
17-9.png,125-9.png,ds,up,17-9_mask.png,0.7563600540161133,0,2.7041723313565624,74
20-13F.png,208-13F.png,ds,up,20-13F_mask.png,0.7759428024291992,0,3.481162265860333,75
123-125.png,44-100.png,dd,up,123-125_mask.png,0.8607490062713623,1,4.481404746557163,76
197-103F.png,135-192F.png,dd,up,197-103F_mask.png,0.8842110633850098,0,4.481404746557163,77
129-94F.png,131-37F.png,dd,up,129-94F_mask.png,0.8581211566925049,1,5.303233769314314,78
49-146.png,151-146.png,ds,up,49-146_mask.png,0.7118949890136719,1,4.8750319984495905,79
147-7.png,147-7.png,ss,up,147-7_mask.png,0.5742678642272949,1,4.481404746557163,80
96-128F.png,96-128F.png,ss,up,96-128F_mask.png,0.5166640281677246,1,3.786932535139164,81
123-100.png,123-125.png,sd,up,123-100_mask.png,0.5743100643157959,1,3.2000809649503075,82
146-7.png,146-25.png,sd,up,146-7_mask.png,0.6281139850616455,0,2.7041723313565624,83
192-216F.png,192-216F.png,ss,up,192-216F_mask.png,0.5808320045471191,0,4.1195603452145715,84
20-65F.png,20-13F.png,sd,up,20-65F_mask.png,0.917853832244873,1,5.76904693567962,85
225-30F.png,225-96F.png,sd,up,225-30F_mask.png,0.9331958293914795,1,5.303233769314314,86
197-103F.png,197-103F.png,ss,up,197-103F_mask.png,0.5246131420135498,1,4.8750319984495905,87
44-125.png,44-100.png,sd,up,44-125_mask.png,0.5212740898132324,1,4.481404746557163,88
146-7.png,146-7.png,ss,up,146-7_mask.png,0.6623740196228027,1,3.786932535139164,89
131-94F.png,131-37F.png,sd,up,131-94F_mask.png,0.6625730991363525,1,3.786932535139164,90
145-66.png,145-148.png,sd,up,145-66_mask.png,0.5810818672180176,1,3.481162265860333,91
49-146.png,49-87.png,sd,up,49-146_mask.png,0.6150269508361816,1,3.481162265860333,92
160-2.png,160-2.png,ss,up,160-2_mask.png,1.0758161544799805,0,3.2000809649503075,93
25-55.png,25-55.png,ss,up,25-55_mask.png,0.8356249332427979,0,3.786932535139164,94
111-220F.png,111-220F.png,ss,up,111-220F_mask.png,0.48047399520874023,1,4.8750319984495905,95
